Timestamp,GSR
1175638.36669922,35165
1175646.17919922,35162
1175653.99169922,35163
1175661.80419922,35163
1175669.61669922,35165
1175677.42919922,35164
1175685.24169922,35162
1175693.05419922,35162
1175700.86669922,35163
1175708.67919922,35163
1175716.49169922,35162
1175724.30419922,35162
1175732.11669922,35164
1175739.92919922,35163
1175747.74169922,35162
1175755.55419922,35163
1175763.36669922,35165
1175771.17919922,35164
1175778.99169922,35163
1175786.80419922,35163
1175794.61669922,35164
1175802.42919922,35164
1175810.24169922,35163
1175818.05419922,35163
1175825.86669922,35164
1175833.67919922,35163
1175841.49169922,35162
1175849.30419922,35162
1175857.11669922,35164
1175864.92919922,35163
1175872.74169922,35165
1175880.55419922,35162
1175888.36669922,35163
1175896.17919922,35163
1175903.99169922,35164
1175911.80419922,35162
1175919.61669922,35164
1175927.42919922,35162
1175935.24169922,35164
1175943.05419922,35160
1175950.86669922,35162
1175958.67919922,35161
1175966.49169922,35161
1175974.30419922,35159
1175982.11669922,35162
1175989.92919922,35161
1175997.74169922,35161
1176005.55419922,35158
1176013.36669922,35160
1176021.17919922,35159
1176028.99169922,35161
1176036.80419922,35156
1176044.61669922,35159
1176052.42919922,35157
1176060.24169922,35159
1176068.05419922,35156
1176075.86669922,35159
1176083.67919922,35157
1176091.49169922,35159
1176099.30419922,35155
1176107.11669922,35157
1176114.92919922,35157
1176122.74169922,35154
1176130.55419922,35155
1176138.36669922,35156
1176146.17919922,35154
1176153.99169922,35156
1176161.80419922,35153
1176169.61669922,35155
1176177.42919922,35153
1176185.24169922,35155
1176193.05419922,35152
1176200.86669922,35154
1176208.67919922,35152
1176216.49169922,35155
1176224.30419922,35150
1176232.11669922,35152
1176239.92919922,35151
1176247.74169922,35151
1176255.55419922,35149
1176263.36669922,35151
1176271.17919922,35149
1176278.99169922,35150
1176286.80419922,35147
1176294.61669922,35150
1176302.42919922,35148
1176310.24169922,35146
1176318.05419922,35149
1176325.86669922,35148
1176333.67919922,35146
1176341.49169922,35148
1176349.30419922,35144
1176357.11669922,35146
1176364.92919922,35144
1176372.74169922,35146
1176380.55419922,35143
1176388.36669922,35145
1176396.17919922,35143
1176403.99169922,35142
1176411.80419922,35141
1176419.61669922,35142
1176427.42919922,35141
1176435.24169922,35140
1176443.05419922,35139
1176450.86669922,35142
1176458.67919922,35140
1176466.49169922,35138
1176474.30419922,35138
1176482.11669922,35140
1176489.92919922,35138
1176497.74169922,35140
1176505.55419922,35136
1176513.36669922,35139
1176521.17919922,35136
1176528.99169922,35139
1176536.80419922,35136
1176544.61669922,35137
1176552.42919922,35136
1176560.24169922,35138
1176568.05419922,35134
1176575.86669922,35136
1176583.67919922,35135
1176591.49169922,35136
1176599.30419922,35133
1176607.11669922,35135
1176614.92919922,35134
1176622.74169922,35133
1176630.55419922,35131
1176638.36669922,35133
1176646.17919922,35131
1176653.99169922,35133
